name,technology,bidding_EOM,bidding_CRM_pos,bidding_CRM_neg,fuel_type,emission_factor,max_power,min_power,efficiency,ramp_up,ramp_down,additional_cost,hot_start_cost,warm_start_cost,cold_start_cost,min_operating_time,min_down_time,heat_extraction,max_heat_extraction,unit_operator
Bakreshwar Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bakreshwar TPS
Balco Korba TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Balco Korba TPP
Balco Korba TPP Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Balco Korba TPP
Bandakhar TPP Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,300,120,0.4,,,,,,,,,,,Bandakhar TPP
Bandel Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,60,24,0.4,,,,,,,,,,,Bandel TPS
Bandel Thermal Power Station Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,210,84,0.4,,,,,,,,,,,Bandel TPS
Baradarha Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Baradarha TPS
Baradarha Thermal Power Station Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,600,240,0.4,,,,,,,,,,,Baradarha TPS
Barauni Thermal Power Station (BTPS) Unit 8,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Barauni TPS
Barauni Thermal Power Station (BTPS) Unit 9,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,250,100,0.4,,,,,,,,,,,Barauni TPS
Barh STPP II Unit 4,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Barh STPP
Barh STPP II Unit 5,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Barh STPP
Barh STPP- I Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Barh STPP
Barh STPP- I Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Barh STPP
Barh STPP- I Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,660,264,0.4,,,,,,,,,,,Barh STPP
Barkhera TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Barkhera TPS
Barkhera TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,45,18,0.4,,,,,,,,,,,Barkhera TPS
Barsingar Lignite Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,125,50,0.4,,,,,,,,,,,Barsingar Lignite TPP
Barsingar Lignite Power Plant Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,125,50,0.4,,,,,,,,,,,Barsingar Lignite TPP
Bela Thermal Power Station Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Bela TPS
Bellary TPS Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Bellary TPS
Bellary TPS Unit 2,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,500,200,0.4,,,,,,,,,,,Bellary TPS
Bellary TPS Unit 3,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,700,280,0.4,,,,,,,,,,,Bellary TPS
Bhadradri Thermal Power Plant Unit 1,coal,powerplant_energy_heuristic_flexable,,,coal,0.335,270,108,0.4,,,,,,,,,,,Bhadradri TPP
